Title,Zone,Latitude,Longitude,Operator,Post Code,Alternate Title,Total Spaces,Allowed Vehicles,Last Tariff Update,Charge Times,Parking Rate / Hour,Convenience Fee,Remainder Message Fee,Summary Message Fee,Maximum Stay,Extendable Upto,Advance Parking,Location Type,Number of Allowed Vehicle Types
Pyramids Car Park,1387,50.7792816,-1.08608997,Portsmouth City Council,PO53ST,Pyramids Car Park/Seafront Off Street,146,Car,13 April 2022,All Week 8:00am - 8:00pm,£1.90,10p,10p,10p,5 Days,Forever,No,Off street,1
Stubbington Avenue Car Park,1388,50.8165016,-1.07854998,Portsmouth City Council,PO20HS,Stubbington Avenue Car Park/District Off Street,146,Car,11 April 2022,All Week 7:00am - 8:00pm,£0.60,10p,10p,10p,5 Days,Forever,No,Off street,1
Seafront  The Esplanade Car Park,1389,50.7854805,-1.09879994,Portsmouth City Council,PO5 3AP,"Seafront, The Esplanade Car Park/Seafront Off Street",373,Car,11 April 2022,All Week,£1.90,10p,10p,10p,31 Days,Forever,No,Off street,1
Wootton Street Car Park,1390,50.8445091,-1.06803,Portsmouth City Council,PO63AP,Wootton Street Car Park/District Off Street,22,Car,13 April 2022,All Week 7:00am - 8:00pm,£1.10,10p,10p,10p,5 Days,Forever,No,Off street,1
Seafront Overflow Car Park,1391,50.7813492,-1.09239995,Portsmouth City Council,PO5 3PB,Seafront Overflow Car Park/Seafront Off Street,100,"Car, HGV/LGV, Motorcycle",13 April 2022,All Week 8:00am - 8:00pm,£1.90,10p,10p,10p,5 Days,Forever,No,Off street,3
Park & Ride & Hover Bus,1396,50.8255997,-1.08968997,Portsmouth City Council,PO28RA,Park + Ride + Hover Bus/Park and Ride,0,Car,18 December 2019,24hrs,£6.00,10p,10p,10p,1 Day,Never,Yes,Off street,1
Old Commercial Road Car Park,1397,50.8063698,-1.08660996,Portsmouth City Council,PO1 4QG,Old Commercial Road Car Park/Central Off Street,20,Car,11 April 2022,All Week,£1.10,10p,10p,10p,24 Hours,Forever,No,Off street,1
Park & Ride Car Park,1398,50.8250999,-1.09002995,Portsmouth City Council,PO28RA,Park + Ride Car Park/Park and Ride,0,Car,19 February 2020,24hrs,£4.00,10p,10p,10p,1 Day,Never,Yes,Off street,1
KA Old Portsmouth RVP,1399,50.7911911,-1.09455001,Portsmouth City Council,PO54DJ,KA Old Portsmouth RVP/Resident Visitor Permits,579,Car,01 June 2020,All Week,£1.15,,10p,10p,24 Hours,Forever,No,On street,1
Totteridge Road Car Park,1401,51.6295013,-0.744000018,Buckinghamshire Council,HP13 6EB,Totteridge Road Car Park/High Wycombe,22,Car,20 March 2023,Monday to Saturday 7:00am - 7:00pm,£2.10,,15p,15p,7 Days,Forever,No,Off street,1
Desborough Street Car Park,1402,51.6335983,-0.766099989,Buckinghamshire Council,HP11 2LY,Desborough Street Car Park/High Wycombe,26,Car,13 March 2023,Monday to Saturday 7:00am - 7:00pm,£1.10,,15p,15p,7 Days,Forever,No,Off street,1
Marlow Central Car Park,1404,51.5722008,-0.778500021,Buckinghamshire Council,SL7 2NJ,Marlow Central Car Park/Marlow,167,Car,21 March 2023,All Week,£0.60,,15p,15p,6 Hours,Up to Maximum stay,No,Off street,1
Riley Road Car Park,1405,51.5714989,-0.778400004,Buckinghamshire Council,SL7 2PH,Riley Road Car Park/Marlow,28,Car,20 March 2023,Monday to Saturday 7:00am - 7:00pm,£0.90,,15p,15p,7 Days,Forever,No,Off street,1
Council Offices Front Car Park,1409,51.6274986,-0.749000013,Buckinghamshire Council,HP11 1BB,Council Offices Front Car Park/High Wycombe,11,Car,20 March 2023,All Week,Free,,15p,15p,2 Days,Never,No,Off street,1
Council Offices Rear Car Park,1410,51.6276016,-0.746399999,Buckinghamshire Council,HP11 1BB,Council Offices Rear Car Park/High Wycombe,105,Car,20 March 2023,Monday to Friday,PRIVATE USE ONLY,,15p,15p,2 Days,Forever,No,Off street,1
Duke Street Car Park,1412,51.6287003,-0.7421,Buckinghamshire Council,HP13 6EE,Duke Street Car Park/High Wycombe,167,Car,13 March 2023,Monday to Saturday 7:00am - 7:00pm,£2.10,,15p,15p,7 Days,Forever,No,Off street,1
Railway Place Car Park,1413,51.6278,-0.743099988,Buckinghamshire Council,HP13 6AB,Railway Place Car Park/High Wycombe,182,Car,13 March 2023,Monday to Saturday 7:00am - 7:00pm,£2.10,,15p,15p,7 Days,Forever,No,Off street,1
George Street Car Park,1414,51.6328316,-0.76049,Buckinghamshire Council,HP11 2RZ,George Street Car Park/High Wycombe,24,Car,17 March 2023,Monday to Friday 7:00am - 7:00pm,£0.60,,15p,15p,12 Hours,Up to Maximum stay,No,Off street,1
Horns Lane Car Park,1415,51.7229996,-0.828800023,Buckinghamshire Council,HP27 0AJ,Horns Lane Car Park/Princes Risborough,76,Car,20 March 2023,Monday to Saturday 7:00am - 7:00pm,£0.60,,15p,15p,6 Hours,Up to Maximum stay,No,Off street,1
The Mount Car Park,1416,51.723999,-0.835600019,Buckinghamshire Council,HP27 9AX,The Mount Car Park/Princes Risborough,134,Car,20 March 2023,Monday to Saturday 7:00am - 7:00pm,£0.60,,15p,15p,7 Days,Forever,No,Off street,1
Liston Road Car Park,1417,51.5728989,-0.774600029,Buckinghamshire Council,SL7 1BY,Liston Road Car Park/Marlow,177,Car,20 March 2023,All Week,£0.60,,15p,15p,7 Days,Forever,No,Off street,1
Dean Street Car Park,1418,51.5736313,-0.776629984,Buckinghamshire Council,SL7 3AA,Dean Street Car Park/Marlow,82,Car,20 March 2023,All Week,£0.60,,15p,15p,7 Days,Forever,No,Off street,1
West Street Car Park,1419,51.5702019,-0.779299974,Buckinghamshire Council,SL7 2LS,West Street Car Park/Marlow,59,Car,20 March 2023,All Week,£0.60,,15p,15p,7 Days,Forever,No,Off street,1
Institute Road Car Park,1420,51.5709,-0.772899985,Buckinghamshire Council,SL7 1BJ,Institute Road Car Park/Marlow,60,Car,20 March 2023,Monday to Saturday 7:00am - 7:00pm,£0.90,,15p,15p,7 Days,Forever,No,Off street,1
Richardson Street Car Park,1421,51.6318016,-0.760219991,Buckinghamshire Council,HP11 2SB,Richardson Street Car Park/High Wycombe,50,Car,20 March 2023,Monday to Saturday 7:00am - 7:00pm,£1.10,,15p,15p,7 Days,Forever,No,Off street,1
Pound Lane Car Park,1422,51.5682983,-0.777700007,Buckinghamshire Council,SL7 2AE,Pound Lane Car Park/Marlow,214,Car,20 March 2023,All Week 7:00am - 7:00pm,£0.90,,15p,15p,7 Days,Forever,No,Off street,1
Wakeman Road Car Park,1423,51.5789986,-0.710500002,Buckinghamshire Council,SL8 5SX,Wakeman Road Car Park/Bourne End,76,Car,13 March 2023,Monday to Saturday 7:00am - 7:00pm,£0.60,,15p,15p,7 Days,Forever,No,Off street,1
Kingsmead Car Park,1425,51.6158981,-0.714100003,Buckinghamshire Council,HP11 1SL,Kingsmead Car Park/High Wycombe,117,Car,17 March 2023,Monday to Saturday 9:00am - 5:00pm,£0.60,,15p,15p,7 Days,Up to Maximum stay,No,Off street,1
Farlington Playing Fields Car Park,1539,50.8371201,-1.04170001,Portsmouth City Council,PO61SZ,Farlington Playing Fields Car Park/District Off Street,150,Car,23 December 2022,Monday to Friday 10:00am - 4:00pm,£0.50,10p,10p,10p,6 Hours,Forever,Yes,Off street,1
Camber Quay Car Park,1540,50.7915001,-1.10747004,Portsmouth City Council,PO1 2JJ,Camber Quay Car Park/Central Off Street,0,Car,24 February 2023,Monday to Thursday,£1.60,10p,10p,10p,24 Hours,Up to Maximum stay,No,Off street,1
Western Parade,1541,50.7866096,-1.09452999,Portsmouth City Council,PO5 3ED,Western Parade/Seafront On Street,111,Car,20 March 2023,All Week 8:00am - 6:00pm,£2.00,10p,10p,10p,12 Hours,Up to Maximum stay,No,On street,1
Queen Street,1542,50.7998581,-1.10221004,Portsmouth City Council,PO13DA,Queen Street/Central On Street,15,Car,20 March 2023,All Week 9:00am - 5:00pm,£1.80,10p,10p,10p,8 Hours,Forever,No,On street,1
King Henry 1 Street North,1543,50.7973213,-1.09430003,Portsmouth City Council,PO1 2BZ,King Henry 1 Street North/Central On Street,0,Car,20 March 2023,All Week,£1.80,10p,10p,10p,7 Days,Up to Maximum stay,No,On street,1
Station Street,1544,50.7988205,-1.08946002,Portsmouth City Council,PO1 1BE,Station Street/Central On Street,12,Car,20 March 2023,All Week,£1.80,10p,10p,10p,5 Days,Up to Maximum stay,No,On street,1
Heathfield Road,1546,50.8141212,-1.08098996,Portsmouth City Council,PO2 8AG,Heathfield Road/District On Street,10,Car,20 March 2023,Monday to Saturday 8:00am - 6:00pm,£0.60,10p,10p,10p,7 Days,Up to Maximum stay,No,On street,1
Museum Road,1547,50.7920799,-1.09800994,Portsmouth City Council,PO1 2LJ,Museum Road/Central On Street,28,Car,20 March 2023,All Week 8:00am - 6:00pm,£1.80,10p,10p,10p,7 Days,Forever,No,On street,1
Exchange Road West,1548,50.7965889,-1.09398997,Portsmouth City Council,PO1,Exchange Road West/Central On Street,7,Car,20 March 2023,All Week 8:00am - 5:00pm,£1.80,10p,10p,10p,9 Hours,Up to Maximum stay,No,On street,1
Vyne Meadow Car Park,1599,51.269619,-1.08801997,Basingstoke and Deane Borough Council,RG21 5NA,Vyne Meadow Car Park/Basingstoke,0,Car,08 March 2023,Saturday And Sunday,£1.20,,10p,10p,5 Days,Up to Maximum stay,No,Off street,1
Avon Beach Car Park,1879,50.7288017,-1.73485005,BCP Council,BH23 4AN,Avon Beach Car Park/Christchurch,99,Car,03 May 2023,All Week 9:00am - 9:00pm,£2.30,,10p,10p,12 Hours,Up to Maximum stay,No,Off street,1
Saxon Square,1880,50.7354317,-1.77655005,BCP Council,BH23 1QB,Saxon Square/Christchurch,265,"Car, HGV/LGV, Motorcycle",03 May 2023,All Week,£1.20,,10p,10p,17 Hours,Up to Maximum stay,No,Off street,3
By Pass,1881,50.7368317,-1.77761996,BCP Council,BH23 1QN,By Pass/Christchurch,202,"Car, HGV/LGV, Motorcycle",16 May 2023,All Week,£1.20,90p,10p,10p,17 Hours,Up to Maximum stay,No,Off street,3
Pit Site,1882,50.7358017,-1.78012002,BCP Council,BH23 1PE,,0,,,,,,,,,,,,0
Wick Lane,1883,50.7333603,-1.77798998,BCP Council,BH23 1HT,Wick Lane/Christchurch,187,"Car, HGV/LGV, Motorcycle",03 May 2023,All Week 8:00am - 6:30pm,£1.20,,10p,10p,18 Hours,Up to Maximum stay,No,Off street,3
Bridge Street,1884,50.7345581,-1.76991999,BCP Council,BH23 1AZ,Bridge Street/Christchurch,51,"Car, HGV/LGV, Motorcycle",03 May 2023,All Week,£1.00,,10p,10p,24 Hours,Up to Maximum stay,No,Off street,3
Bank Close,1885,50.73452,-1.77910995,BCP Council,BH23 1JG,Bank Close/Christchurch,156,"Car, HGV/LGV, Motorcycle",03 May 2023,All Week,£1.20,,10p,10p,17 Hours,Up to Maximum stay,No,Off street,3
Leisure Centre,1886,50.7337189,-1.76730001,BCP Council,BH231HW,Leisure Centre/Christchurch,338,"Car, HGV/LGV, Motorcycle",16 May 2023,All Week 8:00am - 7:00pm,£1.20,90p,10p,10p,11 Hours,Up to Maximum stay,No,Off street,3
Willow Way,1887,50.7311592,-1.78261006,BCP Council,BH23 1NU,Willow Way/Christchurch,74,"Car, HGV/LGV, Motorcycle",03 May 2023,All Week 8:00am - 7:00pm,£1.20,,10p,10p,11 Hours,Up to Maximum stay,No,Off street,3
Purewell Dairy,1888,50.7361717,-1.76164997,BCP Council,BH23 1EU,Purewell Dairy/Christchurch,28,"Car, HGV/LGV, Motorcycle",03 May 2023,All Week 8:00am - 5:00pm,£0.90,,10p,10p,9 Hours,Up to Maximum stay,No,Off street,3
Wortley Road,1889,50.7407494,-1.69974005,BCP Council,BH235DR,Wortley Road/Christchurch,126,"Car, HGV/LGV, Motorcycle",16 May 2023,All Week 8:00am - 7:00pm,£0.80,90p,10p,10p,11 Hours,Up to Maximum stay,No,Off street,3
Mudeford Quay,1891,50.725399,-1.73995996,BCP Council,BH234AB,Mudeford Quay/Christchurch,448,"Car, HGV/LGV, Motorcycle",03 May 2023,All Week,£2.30,,10p,10p,1 Week,Up to Maximum stay,No,Off street,3
Priory,1892,50.7314987,-1.77515996,BCP Council,BH23 1BU,Priory/Christchurch,101,Car,03 May 2023,All Week,£2.30,,10p,10p,12 Hours,Up to Maximum stay,No,Off street,1
Christchurch Quay,1893,50.7310791,-1.77543998,BCP Council,BH23 1BY,Christchurch Quay/Christchurch,21,Car,03 May 2023,All Week,£2.30,,10p,10p,12 Hours,Up to Maximum stay,No,Off street,1
Mayors Mead,1894,50.7304306,-1.77978003,BCP Council,BH23 1NY,Mayors Mead/Christchurch,156,"Car, HGV/LGV, Motorcycle",03 May 2023,All Week,£2.30,,10p,10p,36 Hours,Up to Maximum stay,No,Off street,3
Avon Run Road,1895,50.7297096,-1.73485994,BCP Council,BH23 4DU,Avon Run Road/Christchurch,222,"Car, HGV/LGV, Motorcycle",16 May 2023,All Week 9:00am - 9:00pm,£2.10,,10p,10p,1 Week,Up to Maximum stay,No,Off street,3
Southcliffe Road,1896,50.7345314,-1.73035002,BCP Council,BH234EN,Southcliffe Road/Christchurch,209,Car,03 May 2023,All Week 9:00am - 9:00pm,£2.10,,10p,10p,12 Hours,Up to Maximum stay,No,Off street,1
Steamer Point,1897,50.7350006,-1.72485006,BCP Council,BH23 4TA,Steamer Point/Christchurch,168,Car,03 May 2023,All Week 10:00am - 9:00pm,£2.10,,10p,10p,12 Hours,Forever,No,Off street,1
Highcliffe Top,1898,50.7381783,-1.69651997,BCP Council,BH23 5DF,Highcliffe Top/Christchurch,618,Car,03 May 2023,All Week,£2.10,,10p,10p,12 Hours,Up to Maximum stay,No,Off street,1
Highcliffe Castle,1899,50.7372093,-1.71431005,BCP Council,BH234LE,Highcliffe Castle/Christchurch,102,Car,03 May 2023,All Week 7:00am - Midnight,£1.90,,10p,10p,4 Hours,Up to Maximum stay,No,Off street,1
Lower Basing View Car Park,1900,51.2681313,-1.07596004,Basingstoke and Deane Borough Council,RG214HG,Lower Basing View Car Park/Basingstoke,105,Car,23 March 2022,All Week,£1.20,,10p,10p,24 Hours,Up to Maximum stay,No,Off street,1
Central Car Park,1901,51.2635803,-1.08507001,Basingstoke and Deane Borough Council,RG21 7LX,Central Car Park/Basingstoke,138,Car,23 March 2022,All Week,£1.20,,10p,10p,13 Hours,Up to Maximum stay,No,Off street,1
Joices Yard Car Park,1902,51.2630196,-1.08810997,Basingstoke and Deane Borough Council,RG21 7DT,Joices Yard Car Park/Basingstoke,60,Car,23 March 2022,All Week,£1.20,,10p,10p,13 Hours,Up to Maximum stay,No,Off street,1
Albert Yard Car Park,1904,51.2619095,-1.08832002,Basingstoke and Deane Borough Council,RG21 7EE,Albert Yard Car Park/Basingstoke,17,Car,23 March 2022,All Week,Free,,10p,10p,13 Hours,Up to Maximum stay,No,Off street,1
Jacobs Yard Car Park,1905,51.2618408,-1.08527994,Basingstoke and Deane Borough Council,RG21 7PW,Jacobs Yard Car Park/Basingstoke,28,Car,23 March 2022,All Week,Free,,10p,10p,13 Hours,Up to Maximum stay,No,Off street,1
Brinkletts Car Park,1906,51.2621002,-1.09092999,Basingstoke and Deane Borough Council,RG21 8UE,Brinkletts Car Park/Basingstoke,37,Car,23 March 2022,All Week,£1.20,,10p,10p,37 Hours,Up to Maximum stay,No,Off street,1
Sarum Hill Car Park,1907,51.2629814,-1.09080005,Basingstoke and Deane Borough Council,RG21 8SR,Sarum Hill Car Park/Basingstoke,45,Car,23 March 2022,All Week,£1.20,,10p,10p,37 Hours,Up to Maximum stay,No,Off street,1
Castons Car Park,1908,51.2611694,-1.08799005,Basingstoke and Deane Borough Council,RG21 7NP,Castons Car Park/Basingstoke,60,Car,23 March 2022,All Week,£1.20,,10p,10p,37 Hours,Up to Maximum stay,No,Off street,1
Southern Road Car Park,1909,51.2611809,-1.08723998,Basingstoke and Deane Borough Council,RG21 7NP,Southern Road Car Park/Basingstoke,123,Car,23 March 2022,All Week,£1.20,,10p,10p,37 Hours,Up to Maximum stay,No,Off street,1
Churchill Way Car Park,1910,51.2663002,-1.09044003,Basingstoke and Deane Borough Council,RG21 7QU,Churchill Way Car Park/Basingstoke,100,Car,23 March 2022,All Week,£1.20,,10p,10p,37 Hours,Up to Maximum stay,No,Off street,1
Churchill Way East Car Park,1911,51.2658501,-1.09112,Basingstoke and Deane Borough Council,RG21 7QU,Churchill Way East Car Park/Basingstoke,24,Car,23 March 2022,All Week,£1.20,,10p,10p,37 Hours,Up to Maximum stay,No,Off street,1
Eastlands Car Park (Saturday only),1912,51.2626991,-1.08315003,Basingstoke and Deane Borough Council,RG21 4AW,Eastlands Car Park (Saturday only)/Basingstoke,170,Car,23 March 2022,Saturdays 8:00am - Midnight,£1.20,,10p,10p,24 Hours,Up to Maximum stay,No,Off street,1
Eastrop Park Car Park,1913,51.2662315,-1.07667005,Basingstoke and Deane Borough Council,RG214QE,Eastrop Park Car Park/Basingstoke,94,Car,13 February 2023,All Week,Free,,10p,10p,24 Hours,Up to Maximum stay,No,Off street,1
Castons Yard Car Park,1914,51.2618217,-1.08754003,Basingstoke and Deane Borough Council,RG21 7EG,Castons Yard Car Park/Basingstoke,126,Car,23 March 2022,All Week,Free,,10p,10p,13 Hours,Up to Maximum stay,No,Off street,1
Bell street Car Park,1915,51.2298813,-1.34127998,Basingstoke and Deane Borough Council,RG28 7AE,Bell street Car Park/Whitchurch,80,Car,03 May 2023,All Week,Free,,10p,10p,13 Hours,Up to Maximum stay,No,Off street,1
Andover Station Car Park,2000,51.2114792,-1.49178004,South Western Railway,SP10 3HN,Andover Station Car Park/Andover,0,Car,07 September 2021,24hrs,£39.30,,10p,10p,7 Days,Up to Maximum stay,Yes,Off street,1
Basingstoke Station (North Yard) Car Park,2001,51.2692909,-1.08712995,South Western Railway,RG21 5NG,Basingstoke Station (North Yard) Car Park/Basingstoke,0,Car,07 September 2021,24hrs,£49.00,,10p,10p,7 Days,Up to Maximum stay,No,Off street,1
Farnborough (Main) Station Car Park,2002,51.2962799,-0.75733,South Western Railway,GU14 7PY,Farnborough (Main) Station Car Park/Farnborough,0,Car,07 September 2021,24hrs,£43.90,,10p,10p,7 Days,Forever,No,Off street,1
Havant Station Car Park,2003,50.8550186,-0.980530024,South Western Railway,PO91PP,Havant Station Car Park/Havant,0,Car,07 September 2021,24hrs,£39.90,,10p,10p,7 Days,Up to Maximum stay,No,Off street,1
Richmond (London) Station Car Park,2004,51.4635582,-0.301090002,South Western Railway,TW92NA,Richmond (London) Station Car Park/Richmond,0,Car,07 September 2021,24hrs,£85.90,,10p,10p,7 Days,Forever,No,Off street,1
Southampton Airport Parkway Station Car Park,2005,50.9503212,-1.36444998,South Western Railway,SO182HW,Southampton Airport Parkway Station Car Park/Southampton,0,Car,07 September 2021,24hrs,£85.50,,10p,10p,7 Days,Forever,No,Off street,1
Surbiton Station Car Park,2006,51.3927002,-0.302599996,South Western Railway,KT64PE,Surbiton Station Car Park/Surbiton,0,Car,28 October 2022,24hrs,£59.90,,10p,10p,7 Days,Up to Maximum stay,No,Off street,1
Winchester Station Car Park,2007,51.0671997,-1.32226002,South Western Railway,SO238TJ,Winchester Station Car Park/Winchester,0,Car,07 September 2021,24hrs,£46.20,,10p,10p,7 Days,Up to Maximum stay,No,Off street,1
Woking Station Oriental Road Car Park,2008,51.3197899,-0.551320016,South Western Railway,GU227AE,Woking Station Oriental Road Car Park/Woking,0,Car,07 September 2021,24hrs,£59.90,,10p,10p,7 Days,Forever,No,Off street,1
Yeovil Junction Station Car Park,2009,50.9241409,-2.61422992,South Western Railway,BA229UU,Yeovil Junction Station Car Park/Yeovil,0,Car,07 September 2021,24hrs,£17.60,,10p,10p,7 Days,Up to Maximum stay,No,Off street,1
Eastleigh Station Car Park,2010,50.9695511,-1.35014999,South Western Railway,SO50 4FL,Eastleigh Station Car Park/Eastleigh,0,Car,07 September 2021,24hrs,£49.50,,10p,10p,7 Days,Up to Maximum stay,No,Off street,1
Basingstoke Station (Bunnian Place) Car Park,2012,51.2684097,-1.08533001,South Western Railway,RG21 5NE,Basingstoke Station (Bunnian Place) Car Park/Basingstoke,0,Car,07 September 2021,24hrs,£49.00,,10p,10p,7 Days,Up to Maximum stay,No,Off street,1
Farnborough (Main) Station (Union Street) Car Park,2013,51.2957115,-0.759549975,South Western Railway,GU14 7NL,Farnborough (Main) Station (Union Street) Car Park/Farnborough,0,Car,07 September 2021,24hrs,£5.00,,10p,10p,7 Days,Forever,No,Off street,1
Salisbury Station Car Park,2014,51.0702019,-1.80596006,South Western Railway,SP27RS,Salisbury Station Car Park/Salisbury,0,Car,07 September 2021,24hrs,£44.90,,10p,10p,7 Days,Up to Maximum stay,No,Off street,1
Fareham Station Car Park,2015,50.85355,-1.19203997,South Western Railway,PO14 1NP,Fareham Station Car Park/Fareham,0,Car,07 September 2021,24hrs,£23.90,,10p,10p,7 Days,Up to Maximum stay,No,Off street,1
Brockenhurst Station Car Park,2016,50.8169403,-1.57432997,South Western Railway,SO42 7TW,Brockenhurst Station Car Park/Brockenhurst,0,Car,07 September 2021,24hrs,£39.30,,10p,10p,7 Days,Up to Maximum stay,No,Off street,1
Farnham Station Car Park,2017,51.2117195,-0.791700006,South Western Railway,GU9 8AD,Farnham Station Car Park/Farnham,0,Car,08 September 2021,24hrs,£41.30,,10p,10p,7 Days,Up to Maximum stay,No,Off street,1
Esher Station Car Park,2018,51.3798714,-0.352420002,South Western Railway,KT13 9UN,Esher Station Car Park/Esher,0,Car,07 September 2021,24hrs,£40.50,,10p,10p,7 Days,Up to Maximum stay,No,Off street,1
Woking Station (Premium) Car Park,2019,51.3182297,-0.55637002,South Western Railway,GU227AE,Woking Station (Premium) Car Park/Woking,0,Car,07 September 2021,24hrs,£98.90,,10p,10p,7 Days,Forever,No,Off street,1
Winchfield Station Car Park,2021,51.2851906,-0.908089995,South Western Railway,RG278BX,Winchfield Station Car Park/Winchfield,0,Car,07 September 2021,24hrs,£29.90,,10p,10p,7 Days,Up to Maximum stay,No,Off street,1
Grateley Station Car Park,2022,51.1705704,-1.61995995,South Western Railway,SP118LG,Grateley Station Car Park/Grateley,0,Car,07 September 2021,24hrs,£31.20,,10p,10p,7 Days,Up to Maximum stay,No,Off street,1
